Name,Latitude,Longitude
"['Cambridge', 'Waipa', 'Waikato', 'New Zealand']",-37.8833,175.4667
"['Cambridge', 'Washington County', 'Idaho']",,
"['Cambridge City', 'Wayne County', 'Indiana']",40.622,-79.1552
"['Cambridgeport', 'Cambridge', 'Middlesex County', 'Massachusetts']",42.3759,-71.1185
"['Camden', 'Camden County', 'New Jersey']",39.9361,-75.1073
"['Camden', 'Knox County', 'Maine']",,
"['Camden Harbor', 'Camden', 'Knox County', 'Maine']",,
"['Camillus', 'Onondaga County', 'New York']",40.6943,-73.9249
"['Camp Apache', 'Apache County', 'Arizona Territory']",:(,:(
"['Camp Douglas', 'Great Salt Lake City', 'Great Salt Lake County', 'Utah Territory']",:(,:(
